"","PCode","REGION","DISTRICT","Code_CSREF","STRUCTURE","PCODE2","TYPE","DATE OUVERTURE","NBRE VILLAGE","DISTANCE","ACCESSIBILITE","Source","obs","X2","Y2","Y3"
"973","ML02R02C010","KOULIKORO","BANAMBA","ML02R02","NTIELE","ML02R02C010","CSCOM","2003",7,23,"OUI","OMS Survey",NA,-7.43597000041,13.39857,NA
"974","ML07R01C017","GAO","GAO","ML07R01","NTILLIT - GAO","ML07R01C017","CSCOM","1999",38,180,"OUI","OMS Survey",NA,-0.48465427,15.528197849,NA
"975","ML03R01C040","SIKASSO","SIKASSO","ML03R01","NTJIKOUNA","ML03R01C040","CSCOM","2009",2,105,"OUI","OMS Survey",NA,-6.238698276,11.12037547,NA
"976","ML03R01C041","SIKASSO","SIKASSO","ML03R01","NTJILLA","ML03R01C041","CSCOM","1996",11,0,"NON","OMS Survey",NA,-6.50659315084,11.5062722207,NA
"977","ML02R03C015","KOULIKORO","DIOILA","ML02R03","NTOBOUGOU","ML02R03C015","CSCOM","2005",8,0,"OUI","OMS Survey",NA,-6.593333276,12.362777721,NA
"978","ML04R01C017","SEGOU","SEGOU","ML04R01","NTOBOUGOU","ML04R01C017","CSCOM","2007",22,160,"NON","OMS Survey",NA,-6.30403999964,14.1115699998,NA
"979","ML03R06C027","SIKASSO","KOUTIALA","ML03R06","NTOGONASSO","ML03R06C027","CSCOM","1998",5,5,"OUI","OMS Survey",NA,-5.1636109,12.599721847,NA
"980","ML04R07C021","SEGOU","SAN","ML04R07","NTOROSSO","ML04R07C021","CSCOM","2004",25,100,"OUI","OMS Survey",NA,-5.054166774,13.122500472,NA
"981","ML03R06C028","SIKASSO","KOUTIALA","ML03R06","NTOSSO","ML03R06C028","CSCOM","1997",3,40,"OUI","OMS Survey",NA,-5.64,12.08,NA
"982","ML03R06C029","SIKASSO","KOUTIALA","ML03R06","NTOSSONI","ML03R06C029","CSCOM","2006",4,13,NA,"OMS Survey",NA,-5.771049775,12.526481222,NA
"983","ML02R01C011","KOULIKORO","KOULIKORO","ML02R01","NYAMINA","ML02R01C011","CSCOM","1995",15,130,"OUI","OMS Survey",NA,-6.983855526,13.308554472,NA
"984","ML05R02C020","MOPTI","BANDIAGARA","ML05R02","ONDOUGOU","ML05R02C020","CSCOM","2005",10,75,"OUI","OMS Survey",NA,-3.21454999973,14.5861299999,NA
"985","ML03R01C042","SIKASSO","SIKASSO","ML03R01","OUAHIBERA","ML03R01C042","CSCOM","2005",8,34,"OUI","OMS Survey",NA,-5.67242977506,11.0670210953,NA
"986","ML01R02C022","KAYES","BAFOULABE","ML01R02","OUALIA","ML01R02C022","CSCOM","2010",8,62,"NON","OMS Survey",NA,-10.2645599998,13.8952699997,NA
"987","ML04R08C011","SEGOU","TOMINIAN","ML04R08","OUAN","ML04R08C011","CSCOM","1999",17,66,"OUI","OMS Survey",NA,-4.403070149,13.690384848,NA
"988","ML02R02C011","KOULIKORO","BANAMBA","ML02R02","OUARO","ML02R02C011","CSCOM","2004",11,73,"OUI","OMS Survey",NA,-7.71016999973,14.15446,NA
"989","ML01R02C023","KAYES","BAFOULABE","ML01R02","OUASSALA","ML01R02C023","CSCOM","1996",13,12,"NON","OMS Survey",NA,-10.4062600003,13.7771900003,NA
"990","ML03R03C014","SIKASSO","KADIOLO","ML03R03","OUATIALY","ML03R03C014","CSCOM","1998",5,77,"NON","OMS Survey",NA,-5.953,10.74,NA
"991","ML07R02C011","GAO","ANSONGO","ML07R02","OUATTAGOUNA","ML07R02C011","CSCOM","2006",7,90,"OUI","OMS Survey",NA,0.721302106000052,15.181627474,NA
"992",NA,"TOMBOUCTOU","Tombouctou",NA,"OUDAIKA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition","Non localise",NA,NA,NA
"993","ML02R09C001","KOULIKORO","OUELESSEBOUGOU","ML02R09","OUELESSEBOUGOU CENTRAL","ML02R09C001","CSCOM","1998",29,0,"OUI","OMS Survey",NA,-7.913174402,11.991647221,NA
"994","ML02R09C000","KOULIKORO","OUELESSEBOUGOU","ML02R09","OUELESSEBOUGOU CSREF","ML02R09C000","CSRef","2002",0,80,NA,"OMS Survey",NA,-7.913174402,11.991647221,NA
"995",NA,"MOPTI","BANKASS","ML05R03","OUENKORO","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-3.703204,13.597557,NA
"996",NA,"TOMBOUCTOU","Gourma-Rharous",NA,"OUINERDEN","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-1.4822,16.65,NA
"997",NA,"KOULIKORO","Kati",NA,"OUIZZINDOUGOU","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-8.085611,12.54174,NA
"998","ML03R06C030","SIKASSO","KOUTIALA","ML03R06","OULA","ML03R06C030","CSCOM","2009",8,45,"OUI","OMS Survey",NA,-5.33972215,12.592499722,NA
"999","ML04R04C011","SEGOU","MACINA","ML04R04","OULA","ML04R04C011","CSCOM","1998",20,45,"OUI","OMS Survey",NA,-5.71003999992,14.0083599996,NA
"1000","ML02R02C012","KOULIKORO","BANAMBA","ML02R02","OULENY","ML02R02C012","CSCOM","2004",10,1,"OUI","OMS Survey",NA,-7.34047000015,13.6877600003,NA
"1001","ML05R02C021","MOPTI","BANDIAGARA","ML05R02","OUO","ML05R02C021","CSCOM","1996",20,45,"OUI","OMS Survey",NA,-3.789293398,14.100365098,NA
"1002","ML02R07C012","KOULIKORO","KOLOKANI","ML02R07","OUOLODO","ML02R07C012","CSCOM","1998",11,45,"OUI","OMS Survey",NA,-7.931565527,13.201032972,NA
"1003","ML01R07C020","KAYES","YELIMANE","ML01R07","OUOLOGUELA","ML01R07C020","CSCOM","2002",6,60,"NON","OMS Survey",NA,-10.7989266548,14.9201528489,NA
